id,name,cat,price,was,desc,badge,days,imgUrl,soferId
,מזוזה פלסטיק שקוף פס כסף מעוגל אלכסוני ש כסף עם...,מזוזות,28.3,,"מזוזה פלסטיק שקוף פס כסף מעוגל אלכסוני ש כסף עם... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20078.jpg,
,"מזוזה פלסטיק לבן 15 ס""מ פס כסף מעוגל אלכסוני ש כסף עם חור...",מזוזות,28.3,,"מזוזה פלסטיק לבן 15 ס""מ פס כסף מעוגל אלכסוני ש כסף עם חור... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20079.jpg,
,"מזוזה פלסטיק שקוף פס כסף מעוגל אלכסוני ש כסף עם חורים 12 ס""מ...",מזוזות,25.94,,"מזוזה פלסטיק שקוף פס כסף מעוגל אלכסוני ש כסף עם חורים 12 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20095.jpg,
,"מזוזה פלסטיק לבן ן 12 ס""מ פס כסף מעוגל אלכסוני ש כסף עם חור...",מזוזות,25.94,,"מזוזה פלסטיק לבן ן 12 ס""מ פס כסף מעוגל אלכסוני ש כסף עם חור... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20100.jpg,
,"מזוזה ""פולימר בטון"" ""ש"" 25 ס""מ",מזוזות,141.58,,"מזוזה ""פולימר בטון"" ""ש"" 25 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20147.jpg,
,"מזוזה ""פולימר בטון ""ש"" 30 ס""מ",מזוזות,165.18,,"מזוזה ""פולימר בטון ""ש"" 30 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20149.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 12 ס""מ...",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 12 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20202.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 15 ס""מ...",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 15 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20204.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 20 ס""מ...",מזוזות,165.18,,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 20 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20206.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 25 ס""מ...",מזוזות,188.78,,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 25 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20208.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 30 ס""מ...",מזוזות,212.38,,"מזוזה ""סמנט בטון"" רחבה גוון שחור ""ש"" להבה זהב 30 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20213.jpg,
,"מזוזה פולימר ש שקועה 7 ברכות 12 ס""מ לבן",מזוזות,94.38,,"מזוזה פולימר ש שקועה 7 ברכות 12 ס""מ לבן הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20326.jpg,
,"מזוזה פולימר ש שקועה 7 ברכות 20 ס""מ לבן",מזוזות,141.58,,"מזוזה פולימר ש שקועה 7 ברכות 20 ס""מ לבן הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20329.jpg,
,"מזוזה פולימר ש שקועה חמסה 12 ס""מ",מזוזות,94.38,,"מזוזה פולימר ש שקועה חמסה 12 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20330.jpg,
,"מזוזה פולימר ש שקועה חמסה 15 ס""מ",מזוזות,94.38,,"מזוזה פולימר ש שקועה חמסה 15 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20332.jpg,
,"מזוזה פולימר ש שקועה חמסה 20 ס""מ",מזוזות,141.58,,"מזוזה פולימר ש שקועה חמסה 20 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20333.jpg,
,מזוזה פולימר ש שקועה שמע ישראל 12סמ לבן,מזוזות,94.38,,"מזוזה פולימר ש שקועה שמע ישראל 12סמ לבן הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20334.jpg,
,מזוזה פולימר ש שקועה שמע ישראל 15סמ לבן,מזוזות,94.38,,"מזוזה פולימר ש שקועה שמע ישראל 15סמ לבן הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20340.jpg,
,מזוזה פולימר ש שקועה שמע ישראל 20סמ לבן,מזוזות,141.58,,"מזוזה פולימר ש שקועה שמע ישראל 20סמ לבן הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20341.jpg,
,מזוזה ש + מגן דוד חרוטים פולימר לבן 12סמ,מזוזות,94.38,,"מזוזה ש + מגן דוד חרוטים פולימר לבן 12סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20343.jpg,
,מזוזה ש + מגן דוד חרוטים פולימר לבן 15סמ,מזוזות,94.38,,"מזוזה ש + מגן דוד חרוטים פולימר לבן 15סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20354.jpg,
,מזוזה ש + מגן דוד חרוטים פולימר לבן 20סמ,מזוזות,141.58,,"מזוזה ש + מגן דוד חרוטים פולימר לבן 20סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20400.jpg,
,"מזוזה עץ 12 ס""מ לבנה 2 שרשראות עם גב",מזוזות,37.74,,"מזוזה עץ 12 ס""מ לבנה 2 שרשראות עם גב הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20586.jpg,
,"מזוזה עץ 12 ס""מ חום אגוז 2 שרשראות עם גב",מזוזות,25.94,,"מזוזה עץ 12 ס""מ חום אגוז 2 שרשראות עם גב הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20616.jpg,
,"מזוזה עץ 12 ס""מ חום אגוז שרשרת עם גב",מזוזות,25.94,,"מזוזה עץ 12 ס""מ חום אגוז שרשרת עם גב הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20618.jpg,
,"מזוזה ""וכתבתם על..."" פולימר לבן 12סמ",מזוזות,94.38,,"מזוזה ""וכתבתם על..."" פולימר לבן 12סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20690.jpg,
,"מזוזה ""וכתבתם על..."" פולימר לבן 15סמ",מזוזות,94.38,,"מזוזה ""וכתבתם על..."" פולימר לבן 15סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20693.jpg,
,"מזוזה פלסטיק 12 ס""מ - גימור שיש אפור",מזוזות,17.68,,"מזוזה פלסטיק 12 ס""מ - גימור שיש אפור הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20766.jpg,
,"מזוזה פלסטיק 15 ס""מ - גימור שיש אפור",מזוזות,17.68,,"מזוזה פלסטיק 15 ס""מ - גימור שיש אפור הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20767.jpg,
,"מזוזה פלסטיק 12 ס""מ - גימור שיש אפור",מזוזות,17.68,,"מזוזה פלסטיק 12 ס""מ - גימור שיש אפור הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20768.jpg,
,"מזוזה פלסטיק 15 ס""מ - גימור שיש אפור",מזוזות,17.68,,"מזוזה פלסטיק 15 ס""מ - גימור שיש אפור הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20769.jpg,
,"מזוזה אלומיניום 12 ס""מ צבועה בתלת מימד מטאלי -...",מזוזות,44.82,,"מזוזה אלומיניום 12 ס""מ צבועה בתלת מימד מטאלי -... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20804.jpg,
,"מזוזה אלומיניום 15 ס""מ ""ש"" מתכת פרופיל מיוחד צב...",מזוזות,47.18,,"מזוזה אלומיניום 15 ס""מ ""ש"" מתכת פרופיל מיוחד צב... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20805.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 12 ס""מ...",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 12 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20810.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 15 ס""מ...",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 15 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20822.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 20 ס""מ...",מזוזות,165.18,,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 20 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20825.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 25 ס""מ...",מזוזות,188.78,,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 25 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20827.jpg,
,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 30 ס""מ...",מזוזות,212.38,,"מזוזה ""סמנט בטון"" רחבה גוון לבן ""ש"" להבה זהב 30 ס""מ... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20850.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 12 ס""מ",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 12 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20891.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 15 ס""מ",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 15 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20906.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 20 ס""מ",מזוזות,165.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 20 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20907.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 25 ס""מ",מזוזות,188.78,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 25 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20911.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 30 ס""מ",מזוזות,212.38,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה כסף 30 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20913.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 12 ס""מ",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 12 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20917.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 20 ס""מ",מזוזות,165.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 20 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20921.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 25 ס""מ",מזוזות,188.78,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 25 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20922.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 30 ס""מ",מזוזות,212.38,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 30 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20923.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 12 ס""מ",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 12 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20924.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 15 ס""מ",מזוזות,106.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 15 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20925.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 20 ס""מ",מזוזות,165.18,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 20 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20926.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 25 ס""מ",מזוזות,188.78,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 25 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20927.jpg,
,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 30 ס""מ",מזוזות,212.38,,"מזוזה ""סמנט בטון"" רחבה ""ש"" להבה זהב 30 ס""מ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20928.jpg,
,"מזוזה פלסטיק לבנה 20 ס""מ ""ש"" כסף עם עם פקק גומי...",מזוזות,21.22,,"מזוזה פלסטיק לבנה 20 ס""מ ""ש"" כסף עם עם פקק גומי... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/21077.jpg,
,"מזוזה פלסטיק שקופה 20 ס""מ ""ש"" כסף עם עם פקק גו...",מזוזות,21.22,,"מזוזה פלסטיק שקופה 20 ס""מ ""ש"" כסף עם עם פקק גו... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/21078.jpg,
,"מזוזה ""וכתבתם על..."" פולימר לבן 20סמ",מזוזות,141.58,,"מזוזה ""וכתבתם על..."" פולימר לבן 20סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/21121.jpg,
,"מזוזה ""וכתבתם על..."" פולימר לבן 12סמ",מזוזות,94.38,,"מזוזה ""וכתבתם על..."" פולימר לבן 12סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/21128.jpg,
,"מזוזה ""וכתבתם על..."" פולימר לבן 15סמ",מזוזות,94.38,,"מזוזה ""וכתבתם על..."" פולימר לבן 15סמ הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/21129.jpg,
