קוד UK,שם,מחיר ספק,מחיר אצלנו,מחיר מחוק,מגיע בקרוב,תאריך צפי,כמות באריזה,קטגוריה,תת-קטגוריה,תמונה
UK81534,"צלחת זכוכית לדבש עם הדפסה 19 ס""מ",29.99,47,59,,,1,חגים,דבשיות לראש השנה,https://www.israel-judaica.com/big/81534.jpg
UK41350,"צלחת זכוכית מהודרת לתפוח בדבש 19 ס""מ",29.99,47,59,,,1,חגים,דבשיות לראש השנה,https://www.israel-judaica.com/webp/41350.webp
UK81793,"צלחת זכוכית מהודרת לתפוח בדבש 19 ס""מ",29.99,47,59,,,1,חגים,דבשיות לראש השנה,https://www.israel-judaica.com/big/81793.jpg
UK83547,"סט להגשת תפוח בדבש זכוכית בלתי שבירה 19 ס""מ - כחול",16.99,27,33,כן,30/07/2026,1,חגים,דבשיות לראש השנה,https://www.israel-judaica.com/webp/83547.webp
UK83528,"צלחת מלמין מהודרת לראש השנה עלים כחול 35 ס""מ",26.99,42,53,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83528.webp
UK83529,"צלחת מלמין מהודרת לראש השנה ציור רימונים 35 ס""מ",26.99,42,53,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83529.webp
UK83510,"צלחת מלמין מהודרת לראש השנה פרחים 35 ס""מ",26.99,42,53,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83510.webp
UK83537,"צלחת מלמין מהודרת לראש השנה רימונים בורדו 35 ס""מ",26.99,42,53,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83537.webp
UK83531,"צלחת זכוכית מהודרת לראש השנה, רימונים 35 ס""מ",44.99,71,88,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83531.webp
UK83533,"צלחת זכוכית מהודרת לראש השנה, רימונים כחול 35 ס""מ",44.99,71,88,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83533.webp
UK83532,"צלחת זכוכית מהודרת לראש השנה, פרחים 35 ס""מ",44.99,71,88,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83532.webp
UK81500,"צלחת עגולה מהודרת לראש השנה מזכוכית וקריסטל 40 ס""מ",119.99,188,235,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/big/81500.jpg
UK81792,"צלחת עגולה מהודרת לראש השנה מזכוכית וקריסטל 40 ס""מ",119.99,188,235,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/big/81792.jpg
UK55799,"צלחת עגולה מהודרת לראש השנה אקריליק עם כלי לדבש 38 ס""מ - כסף",199.99,314,392,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/55799.webp
UK55801,"צלחת עגולה מהודרת לראש השנה אקריליק עם כלי לדבש 38 ס""מ - זהב",199.99,314,392,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/55801.webp
UK80957,"צלחת עגולה מהודרת לראש השנה אקריליק עם כלי לדבש 38 ס""מ - כסף",199.99,314,392,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/80957.webp
UK83042,"צלחת עגולה מהודרת לראש השנה אקריליק עם כלי לדבש - ברכות זהב 38 ס""מ",199.99,314,392,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83042.webp
UK80999,"צלחת עגולה מהודרת לראש השנה אקריליק עם כלי לדבש 38 ס""מ - זהב",199.99,314,392,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/80999.webp
UK83733,סט מגש וכלי לדבש מאקריליק - שנה טובה זהב,129.99,204,255,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83733.webp
UK83741,סט מגש וכלי לדבש מאקריליק - רימון שנה טובה זהב,129.99,204,255,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83741.webp
UK83742,סט מגש וכלי לדבש מאקריליק - רימונים צבעוני,129.99,204,255,,,1,חגים,צלחות סימני ראש השנה,https://www.israel-judaica.com/webp/83742.webp
UK81350,"סכין עם הדפסה ""שבת ויום טוב"" 34 ס""מ",19.99,31,39,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/big/81350.jpg
UK59202,"סכין מהודרת עם ידית מתכת להב חלק סגולה לפרנסה 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59202.webp
UK59213,"סכין מהודרת להב חלק עם ידית מתכת סגולה לפרנסה 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59213.webp
UK59254,"סכין מהודרת להב חלק עם ידית מתכת סגולה לפרנסה 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59254.webp
UK86041,"סכין נירוסטה להב חלק סגולה לפרנסה 32 ס""מ - זהב",21.99,34,43,כן,09/08/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/86041.webp
UK86359,"סכין נירוסטה להב חלק סגולה לפרנסה 32 ס""מ - זהב",21.99,34,43,כן,09/08/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/86359.webp
UK59217,"סכין מהודרת עם ידית מתכת להב חלק ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59217.webp
UK59236,"סכין מהודרת עם ידית מתכת להב חלק סגולה לפרנסה 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59236.webp
UK59255,"סכין מהודרת עם ידית מתכת להב חלק ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59255.webp
UK59256,"סכין מהודרת עם ידית מתכת להב חלק סגולה לפרנסה 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59256.webp
UK59272,"סכין מהודרת עם ידית מתכת להב חלק ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59272.webp
UK59149,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59149.webp
UK59165,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59165.webp
UK59166,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59166.webp
UK85733,"סכין נירוסטה ""שבת ויום טוב"" 32 ס""מ - זהב",21.99,34,43,כן,09/08/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/85733.webp
UK86296,"סכין נירוסטה ""שבת ויום טוב"" 32 ס""מ - זהב",21.99,34,43,כן,09/08/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/86296.webp
UK59167,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59167.webp
UK59168,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59168.webp
UK59170,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי כסף",39.99,63,78,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59170.webp
UK59198,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59198.webp
UK59201,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59201.webp
UK59172,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59172.webp
UK59180,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59180.webp
UK59181,"סכין מהודרת עם ידית מתכת להב משונן ""שבת ויום טוב"" 35 ס""מ - ציפוי זהב",44.99,71,88,כן,22/07/2026,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/59181.webp
UK55763,"סכין מהודרת שבת ויום טוב ציפוי כסף 32 ס""מ",79.99,125,157,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/55763.webp
UK81121,"סכין מהודרת עם ידית מתכת 35 ס""מ",39.99,63,78,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/81121.webp
UK82788,"סכין מהודרת עם ידית מתכת 35 ס""מ",44.99,71,88,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/82788.webp
UK82789,"סכין מהודרת עם ידית מתכת להב חלק 35 ס""מ",39.99,63,78,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/82789.webp
UK49327,סכין שבת אלומיניום מהודר עם מעמד רימון -בורדו 30 ס,49.99,78,98,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/big/49327.jpg
UK47447,"סכין מהודרת מתקפלת להב חלק ""שבת ויום טוב"" עם פלקטה 35",44.99,71,88,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/big/47447.jpg
UK83449,"סכין מהודרת ומתקפלת להב חלק ""שבת ויום טוב"" 35 ס""מ",44.99,71,88,,,1,חגים,סכיני חלה לראש השנה,https://www.israel-judaica.com/webp/83449.webp
UK67951,"נרתיק מהודר לאתרוג דמוי עור בטון 16x21 ס""מ",19.99,31,39,כן,30/07/2026,1,חגים,סוכות,https://www.israel-judaica.com/webp/67951.webp
UK66943,נרתיק מהודר לאתרוג דמוי עור שחור,19.99,31,39,כן,30/07/2026,1,חגים,סוכות,https://www.israel-judaica.com/big/66943.jpg
UK66945,נרתיק מהודר לאתרוג דמוי עור כחול,19.99,31,39,כן,30/07/2026,1,חגים,סוכות,https://www.israel-judaica.com/big/66945.jpg
UK81703,"כלי לאתרוג דמוי עור הדפסה כסף 11X19X13 ס""מ",16.99,27,33,,,1,חגים,סוכות,https://www.israel-judaica.com/big/81703.jpg
UK67876,"תיק לאתרוג דמוי עור חום כהה 11X19 ס""מ",69.99,110,137,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67876.webp
UK67912,"תיק לאתרוג דמוי עור שחור 11X19 ס""מ",69.99,110,137,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67912.webp
UK67913,"תיק לאתרוג דמוי עור בטון 11X19 ס""מ",69.99,110,137,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67913.webp
UK67948,"תיק לאתרוג דמוי עור נחש שחור 11X19 ס""מ",69.99,110,137,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67948.webp
UK67932,"נרתיק מהודר ללולב ואתרוג דמוי עור שחור 116x19 ס""מ",79.99,125,157,כן,30/07/2026,1,חגים,סוכות,https://www.israel-judaica.com/webp/67932.webp
UK67950,"סט נרתיקים מהודרים ללולב ואתרוג דמוי עור בטון 116x19 ס""מ",79.99,125,157,כן,30/07/2026,1,חגים,סוכות,https://www.israel-judaica.com/webp/67950.webp
UK67910,"נרתיק מהודר ללולב דמוי עור בטון 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67910.webp
UK67947,"נרתיק מהודר ללולב דמוי עור נחש שחור 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67947.webp
UK67949,"נרתיק מהודר ללולב ואתרוג דמוי עור שחור 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67949.webp
UK68004,"נרתיק מהודר ללולב קטיפה בז' עם חריטת לייזר 125X19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/68004.webp
UK68090,"נרתיק מהודר ללולב קטיפה חום עם חריטת לייזר 125X19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/68090.webp
UK67875,"נרתיק מהודר ללולב דמוי עור חום 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67875.webp
UK67911,"נרתיק מהודר ללולב דמוי עור שחור 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/webp/67911.webp
UK67085,"נרתיק מהודר ללולב דמוי עור 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/big/67085.jpg
UK67086,"נרתיק מהודר ללולב דמוי עור 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/big/67086.jpg
UK67762,"נרתיק מהודר ללולב דמוי עור 116x19 ס""מ",99.99,157,196,,,1,חגים,סוכות,https://www.israel-judaica.com/big/67762.jpg
UK68080,"נרתיק לתפילין עור מהודר 27x25 ס""מ - כחול כהה",139.99,220,274,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68080.webp
UK68081,"נרתיק לתפילין עור מהודר 27x25 ס""מ - גווני חום",139.99,220,274,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68081.webp
UK68082,"נרתיק לתפילין עור מהודר 27x25 ס""מ - שחור",139.99,220,274,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68082.webp
UK68083,"נרתיק לתפילין עור מהודר 27x25 ס""מ - עור נחש",139.99,220,274,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68083.webp
UK68084,"נרתיק לתפילין עור מהודר 27x25 ס""מ - שחור",139.99,220,274,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68084.webp
UK68085,"נרתיק לתפילין עור מהודר 27x25 ס""מ - עור נחש חום",139.99,220,274,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68085.webp
UK68058,נרתיק קלאצ' האש שלי עור מהודר 26.5x20.5 - שחור,119.99,188,235,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68058.webp
UK68059,נרתיק קלאצ' האש שלי עור מהודר 26.5x20.5 - שחור,119.99,188,235,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68059.webp
UK68051,"סט טלית תפילין עור מהודר ""האש שלי"" 29x38 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68051.webp
UK68052,"סט טלית תפילין עור מהודר ""יברכך"" 29x38 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68052.webp
UK68053,"סט טלית תפילין עור מהודר 29x38 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68053.webp
UK68054,"סט טלית תפילין עור מהודר ""יברכך"" 29x38 ס""מ - לבן",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68054.webp
UK68055,"סט טלית תפילין עור מהודר 29x38 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68055.webp
UK68077,"סט טלית תפילין עור מהודר 29x38 ס""מ - חום",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68077.webp
UK67820,סט טלית תפילין עור אמיתי איכותי,269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/67820.webp
UK67821,סט טלית תפילין עור אמיתי איכותי,269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/67821.webp
UK67823,סט טלית תפילין עור אמיתי איכותי,269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/67823.webp
UK68069,"סט טלית תפילין עור מהודר 33x37 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68069.webp
UK68071,"סט טלית תפילין עור מהודר 33x37 ס""מ - אפור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68071.webp
UK68072,"סט טלית תפילין עור מהודר 33x37 ס""מ - חום",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68072.webp
UK68050,"סט טלית תפילין עור מהודר ""יברכך"" 33x37 ס""מ - לבן",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68050.webp
UK68066,"סט טלית תפילין עור מהודר 33x37 ס""מ - כחול כהה",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68066.webp
UK68067,"סט טלית תפילין עור מהודר 33x37 ס""מ - אפור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68067.webp
UK68070,"סט טלית תפילין עור מהודר 33x37 ס""מ - כחול כהה",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68070.webp
